DYNAMIXEL Graph,3
ItemCount,3
-1,311,MX-64(2.0),Realtime Tick,#000000,0
-1,311,MX-64(2.0),Present Position,#ffff00,0
-1,311,MX-64(2.0),Present Velocity,#ff0000,0
Time[ms],Realtime Tick,Present Position,Present Velocity
21067,3229,152,0
21087,3249,152,0
21107,3269,161,1
21127,3289,229,62
21147,3309,273,149
21167,3329,291,131
21187,3349,296,74
21206,3368,299,34
21226,3388,363,53
21246,3408,449,162
21266,3428,540,243
21286,3448,631,275
21306,3468,723,287
21326,3488,813,290
21346,3508,905,291
21366,3528,986,288
21387,3549,1029,243
21407,3569,1041,150
21427,3589,1044,68
21446,3608,1043,26
21466,3628,1043,7
21486,3648,1043,2
21507,3669,1043,0
21527,3689,1043,0
21546,3708,1043,0
21567,3729,1043,0
21587,3749,1043,0
21607,3769,1043,0
21627,3789,1043,0
21647,3809,1043,0
21667,3829,1043,0
21687,3849,1043,0
21706,3868,1037,0
21726,3888,964,-56
21747,3909,872,-185
21766,3928,784,-252
21787,3949,690,-279
21807,3969,598,-289
21827,3989,507,-292
21846,4008,417,-292
21866,4028,327,-293
21886,4048,244,-289
21906,4068,199,-252
21926,4088,176,-168
21946,4108,166,-96
21966,4128,163,-48
21986,4148,163,-19
22006,4168,163,-6
22026,4188,163,-1
22046,4208,163,0
22067,4229,163,0
22086,4248,163,0
22106,4268,163,0
22126,4288,212,31
22147,4309,252,108
22166,4328,268,108
22186,4348,273,64
22206,4368,284,31
22227,4389,359,78
22246,4408,444,186
22266,4428,535,253
22286,4448,625,278
22306,4468,687,267
22326,4488,746,225
22346,4508,776,181
22366,4528,788,113
22386,4548,790,55
22406,4568,793,22
22427,4589,826,34
22446,4608,849,72
22467,4629,858,65
22486,4648,860,37
22506,4668,864,16
22526,4688,919,47
22546,4708,958,119
22566,4728,973,112
22586,4748,979,65
22606,4768,983,29
22626,4788,1009,33
22646,4808,1026,60
22666,4828,1032,50
22686,4848,1033,26
22706,4868,1033,10
22726,4888,1033,2
22746,4908,1033,0
22766,4928,1033,0
22786,4948,1033,0
22806,4968,1035,0
22826,4988,1044,9
22846,5008,1051,21
22866,5028,1054,19
22886,5048,1054,10
22906,5068,1057,4
22926,5088,1078,19
22946,5108,1090,44
22966,5128,1095,37
22986,5148,1095,20
23006,5168,1096,7
23026,5188,1117,16
23046,5208,1134,46
23066,5228,1141,46
23086,5248,1142,26
23106,5268,1142,9
23126,5288,1150,8
23146,5308,1155,16
23166,5328,1157,15
23186,5348,1157,8
23206,5368,1157,2
23226,5388,1157,0
23246,5408,1157,0
23266,5428,1157,0
23286,5448,1157,0
23306,5468,1157,0
23326,5488,1153,-2
23346,5508,1145,-12
23366,5528,1141,-18
23386,5548,1140,-12
23406,5568,1130,-6
23426,5588,1055,-64
23446,5608,980,-179
23466,5628,945,-197
23486,5648,934,-128
23506,5668,921,-63
23526,5688,846,-86
23546,5708,774,-185
23566,5728,740,-196
23586,5748,729,-125
23606,5768,723,-59
23626,5788,655,-71
23646,5808,593,-162
23666,5828,566,-169
23686,5848,557,-104
23706,5868,553,-48
23726,5888,528,-37
23746,5908,510,-60
23766,5928,503,-53
23786,5948,501,-30
23806,5968,499,-12
23826,5988,487,-14
23846,6008,478,-28
23866,6028,476,-24
23886,6048,476,-11
23906,6068,476,-3
23926,6088,476,-1
23946,6108,476,0
23966,6128,476,0
23986,6148,476,0
24006,6168,478,0
24026,6188,504,21
24046,6208,522,55
24066,6228,528,51
24086,6248,530,28
24106,6268,540,12
24126,6288,614,65
24146,6308,702,184
24166,6328,781,249
24186,6348,819,227
24206,6368,832,142
24226,6388,882,100
24246,6408,920,128
24266,6428,935,110
24286,6448,939,62
24306,6468,941,28
24326,6488,956,20
24346,6508,967,35
24366,6528,972,34
24386,6548,973,19
24406,6568,976,7
24426,6588,1000,23
24446,6608,1016,53
24466,6628,1022,47
24486,6648,1023,25
24506,6668,1024,9
24526,6688,1031,9
24546,6708,1039,19
24566,6728,1042,19
24586,6748,1042,10
24606,6768,1041,3
24626,6788,1042,1
24646,6808,1042,0
24666,6828,1042,0
24686,6848,1042,0
24706,6868,1040,0
24726,6888,1003,-29
24746,6908,979,-77
24766,6928,971,-69
24786,6948,968,-38
24806,6968,966,-15
24826,6988,946,-20
24846,7008,929,-47
24866,7028,923,-45
24886,7048,922,-25
24906,7068,921,-10
24926,7088,912,-10
24946,7108,906,-20
24966,7128,903,-19
24986,7148,903,-9
25006,7168,900,-3
25026,7188,878,-21
25046,7208,864,-48
25066,7228,859,-41
25086,7248,858,-22
25106,7268,856,-8
25126,7288,821,-29
25146,7308,796,-75
25166,7328,786,-71
25186,7348,783,-41
25206,7368,775,-19
25226,7388,726,-51
25246,7408,696,-107
25266,7428,684,-92
25286,7448,681,-50
25306,7468,678,-20
25326,7488,655,-26
25346,7508,640,-51
25366,7528,635,-43
25386,7548,634,-23
25406,7568,630,-9
25426,7588,583,-42
25446,7608,550,-103
25466,7628,537,-94
25486,7648,533,-53
25506,7668,531,-23
25526,7688,467,-52
25546,7708,408,-149
25566,7728,383,-157
25586,7748,374,-96
25606,7768,365,-45
25626,7788,295,-76
25646,7808,235,-169
25666,7828,209,-166
25686,7848,201,-99
25706,7868,200,-44
25726,7888,200,-15
25746,7908,200,-4
25766,7928,200,-1
25786,7948,200,0
